url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,26,5
/AirbusDefenceAndSpace/vispa/tree/main/urdf,6,2
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,3,1
/AirbusDefenceAndSpace/vispa/blob/main/urdf/VISPA_modifiedDH_CoppeliaSim.urdf,2,2
/AirbusDefenceAndSpace/vispa/blob/main/CITATION.cff,2,1
/AirbusDefenceAndSpace/vispa/blob/main/matlab_import.m,2,1
/AirbusDefenceAndSpace/vispa/commits/main/urdf,2,1
/AirbusDefenceAndSpace/vispa/tree/main/images,2,1
/AirbusDefenceAndSpace/vispa/blob/b422490ac5fb53d191a348cfffbc417b89cddd60/urdf/vispa.urdf,1,1
/AirbusDefenceAndSpace/vispa/blob/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report/report.pdf,1,1
