url_path,views_total,views_unique
/AirbusDefenceAndSpace/vispa,86,15
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats,22,2
/AirbusDefenceAndSpace/vispa/actions,21,1
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa,18,2
/AirbusDefenceAndSpace/vispa/tree/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report,16,2
/AirbusDefenceAndSpace/vispa/actions/workflows/main.yml,12,1
/AirbusDefenceAndSpace/vispa/blob/github-repo-stats/AirbusDefenceAndSpace/vispa/latest-report/report.pdf,11,2
/AirbusDefenceAndSpace/vispa/branches,11,2
/AirbusDefenceAndSpace/vispa/tree/main,8,2
/AirbusDefenceAndSpace/vispa/tree/main/.github/workflows,7,1
